user,place,total,last_point_datetime,day1_done,day2_done,day3_done,day4_done,day5_done,helping_day1,helping_day2,helping_day3,helping_day4,helping_day5,done_extra,friends_points
UJMF6J340,144,100.0,1567452914.0,100.0,,,,,0,0,0,0,0,0,0
UMZF4BSBY,145,100.0,1567452881.0,100.0,,,,,0,0,0,0,0,0,0
UHMFN37L4,146,100.0,1567452852.0,100.0,,,,,0,0,0,0,0,0,0
UH0KX3J83,147,100.0,1567452750.0,100.0,,,,,0,0,0,0,0,0,0
UMPAJ01L7,148,100.0,1567452698.0,100.0,,,,,0,0,0,0,0,0,0
UH2EUDECT,149,100.0,1567452661.0,100.0,,,,,0,0,0,0,0,0,0
UG1EDBRPS,150,100.0,1567452621.0,100.0,,,,,0,0,0,0,0,0,0
UG3CEFBLN,151,100.0,1567452286.0,100.0,,,,,0,0,0,0,0,0,0
UMWSBA29E,152,100.0,1567452274.0,100.0,,,,,0,0,0,0,0,0,0
UH2EH4NCW,153,100.0,1567452227.0,100.0,,,,,0,0,0,0,0,0,0
UH2P6VC68,154,100.0,1567452102.0,100.0,,,,,0,0,0,0,0,0,0
UH1N68AF4,155,100.0,1567452091.0,100.0,,,,,0,0,0,0,0,0,0
UCKB30HDL,156,100.0,1567452042.0,100.0,,,,,0,0,0,0,0,0,0
UMQEZ51G9,157,100.0,1567451896.0,100.0,,,,,0,0,0,0,0,0,0
UDD5ECRJ6,158,100.0,1567451873.0,100.0,,,,,0,0,0,0,0,0,0
UN02AFQ15,159,100.0,1567451756.0,100.0,,,,,0,0,0,0,0,0,0
UH0H3BQ9Y,160,100.0,1567451713.0,100.0,,,,,0,0,0,0,0,0,0
UMDNHQH0A,161,100.0,1567451693.0,100.0,,,,,0,0,0,0,0,0,0
UMJB64XJ7,162,100.0,1567451683.0,100.0,,,,,0,0,0,0,0,0,0
UMKS0NA4B,163,100.0,1567451501.0,100.0,,,,,0,0,0,0,0,0,0
UMV56JPP1,164,100.0,1567451479.0,100.0,,,,,0,0,0,0,0,0,0
UDPARSPC3,165,100.0,1567451475.0,100.0,,,,,0,0,0,0,0,0,0
UH0L417C4,166,100.0,1567451444.0,100.0,,,,,0,0,0,0,0,0,0
UH1M5RB7F,167,100.0,1567451311.0,100.0,,,,,0,0,0,0,0,0,0
